@relation negaABPra3-29
@attribute BBB
@attribute BBU
@attribute BBJ
@attribute BUB
@attribute BUU
@attribute BUJ
@attribute BJB
@attribute BJU
@attribute BJJ
@attribute UBB
@attribute UBU
@attribute UBJ
@attribute UUB
@attribute UUU
@attribute UUJ
@attribute UJB
@attribute UJU
@attribute UJJ
@attribute JBB
@attribute JBU
@attribute JBJ
@attribute JUB
@attribute JUU
@attribute JUJ
@attribute JJB
@attribute JJU
@attribute JJJ
@attribute isAMP {AMP, Non-AMP}
@data
0.1974,0.1053,0.0263,0.0658,0.0658,0.0263,0.0132,0.0132,0.0263,0.1053,0.0395,0.0132,0.0921,0.0132,0.0132,0.0132,0,0.0263,0.0395,0.0132,0,0,0.0395,0,0.0263,0.0263,0,NON AMP
0.0286,0.019,0.0476,0.0095,0.0667,0.0476,0.019,0.0476,0.0095,0.0286,0.0571,0.0095,0.0476,0.0476,0.0667,0.0286,0.0476,0.0571,0.0381,0.0381,0.019,0.0381,0.0476,0.019,0.0571,0.0095,0.0476,NON AMP
0,0.0152,0,0,0.0455,0.0303,0.0152,0.0152,0,0.0152,0.0303,0.0152,0.0455,0.2727,0.0909,0.0152,0.0909,0.0606,0,0.0152,0.0152,0.0152,0.0909,0.0455,0,0.0455,0.0152,NON AMP
0.0548,0.0137,0.0685,0.0548,0.0274,0.0137,0.0274,0.0685,0.0548,0.0274,0.0548,0.0411,0.0411,0.0411,0.0274,0.0411,0.0274,0.0137,0.0548,0.0274,0.0274,0.0274,0.0411,0.0411,0.0548,0.0137,0.0137,NON AMP
0,0.023,0.0115,0.0345,0.0575,0.046,0.023,0.0115,0.0575,0.0115,0.046,0.046,0.0345,0.0575,0.0575,0.0575,0.046,0.0345,0.023,0.069,0.023,0.0345,0.0345,0.0345,0.046,0.046,0.0345,NON AMP
0.0571,0.0286,0.0714,0.0286,0.0143,0.0857,0.0429,0.0429,0.0286,0.0286,0.0286,0.0143,0,0.0143,0.0143,0.0571,0.0286,0.0429,0.0714,0.0714,0.0143,0.0571,0,0.0286,0.0571,0.0143,0.0571,NON AMP
0.1136,0.0341,0.0568,0.0795,0.0455,0,0.0455,0.0227,0.0682,0.0682,0.0682,0.0341,0.0341,0.0114,0.0114,0,0.0227,0.0227,0.0227,0.0227,0.0341,0.0568,0,0.0341,0.0341,0.0455,0.0114,NON AMP
0,0.0294,0.0441,0.0441,0.0147,0.0441,0.0147,0.0588,0.0735,0.0147,0.0294,0.0588,0.0294,0.0147,0.0147,0.0147,0,0.0735,0.0588,0.0294,0.0441,0.0294,0.0294,0.0294,0.1029,0.0294,0.0735,NON AMP
0.0303,0.0505,0.0303,0.0707,0.0606,0.0101,0.0101,0.0404,0.0303,0.0505,0.0808,0.0404,0.0707,0.1111,0.0404,0.0303,0.0505,0,0.0303,0.0101,0,0.0303,0.0505,0.0303,0,0.0202,0.0202,NON AMP
0.1714,0.0571,0.1143,0.0286,0.0571,0,0.1143,0.0571,0,0.0857,0,0.0286,0.0571,0,0,0,0.0286,0,0.0571,0.0286,0.0286,0.0286,0.0286,0.0286,0,0,0,NON AMP
0,0.0278,0.0185,0.0093,0.0463,0.0278,0.0093,0.0278,0.0185,0.0093,0.037,0.0278,0.037,0.1111,0.0648,0.0278,0.0463,0.0741,0.0278,0.0185,0.0093,0.0278,0.0556,0.0556,0.0185,0.0648,0.1019,NON AMP
0,0.0263,0,0.0263,0,0.0263,0.0263,0.0263,0.0263,0.0263,0.0263,0.0526,0.0263,0.0263,0.0526,0,0.1579,0.0526,0,0,0.0263,0.0526,0.0526,0.1316,0,0.0789,0.0789,NON AMP
0.0588,0,0.0588,0.1176,0,0,0.1176,0.0882,0.0294,0.0294,0.0588,0.0882,0,0,0,0.0294,0,0,0.0588,0.0588,0.0588,0.0588,0,0.0294,0.0294,0,0.0294,NON AMP
0.0169,0.0339,0,0.0169,0,0.0508,0.0169,0.0169,0.0169,0.0169,0.0339,0.0169,0.0169,0.1695,0.0847,0.0339,0.0678,0.0678,0.0169,0,0.0339,0.0169,0.1017,0.0339,0.0169,0.0678,0.0339,NON AMP
0.037,0.0494,0.037,0.0494,0.0123,0.0494,0.037,0,0.0988,0.037,0,0.0617,0.0123,0.0247,0,0.0494,0.0247,0.0123,0.0494,0.0494,0.0494,0.037,0,0.037,0.0617,0.0494,0.0741,NON AMP
0,0.0265,0.0531,0.0177,0.0265,0.0619,0.0265,0.0265,0.0796,0.0177,0.0177,0.0531,0.0177,0.0088,0.0088,0.0354,0.0354,0.0265,0.0619,0.0619,0.0177,0.0531,0,0.0354,0.0796,0.0265,0.1239,NON AMP
0.0645,0.0323,0.0968,0.0645,0,0.0323,0.0968,0,0.129,0,0,0.0323,0,0,0,0.0323,0,0,0.0968,0.0645,0.0968,0,0,0,0.129,0,0.0323,NON AMP
0.0556,0.0556,0,0.1111,0.0556,0,0.0556,0,0,0,0.0556,0.0556,0,0.1667,0.0556,0.0556,0,0.0556,0.0556,0.0556,0,0.0556,0,0,0,0.0556,0,NON AMP
0.12,0.04,0.0267,0.0267,0.04,0.0267,0.04,0.0267,0.0267,0.0267,0.0267,0.0133,0.0133,0.1467,0.04,0.0133,0.04,0.04,0.04,0.0133,0.0533,0.0267,0.0267,0.0267,0.0533,0.0133,0.0133,NON AMP
0.0154,0.0308,0.1077,0,0.0154,0.0154,0.0462,0.0154,0.1077,0.0462,0,0.0154,0.0154,0,0.0154,0,0.0154,0.0615,0.0923,0,0.0308,0.0462,0.0154,0.0462,0.0769,0.0923,0.0769,NON AMP
0.0357,0.0119,0.0595,0.0119,0.0238,0.0238,0.0357,0.0595,0.0595,0.0357,0.0119,0.0357,0.0238,0.0119,0.0357,0.0476,0.0119,0.0357,0.0476,0.0357,0.0476,0.0476,0.0357,0.0357,0.0476,0.0476,0.0833,NON AMP
0.14,0.02,0,0.02,0.08,0.02,0.02,0.02,0.04,0,0.04,0.02,0.04,0.12,0.06,0.06,0,0.04,0.02,0.04,0.06,0.02,0.02,0.02,0.04,0.04,0,NON AMP
0,0.0115,0.069,0.0345,0.0345,0.0115,0.0345,0.0345,0.069,0.046,0.0115,0.0115,0.023,0.0345,0.046,0.0345,0.023,0.046,0.0345,0.046,0.0575,0.0115,0.0345,0.046,0.069,0.0345,0.092,NON AMP
0.0517,0.0086,0.0603,0.0517,0.0172,0.0259,0.069,0.0431,0.0517,0.0259,0.0259,0.0431,0.0259,0.0259,0.0086,0.0431,0.0172,0.0259,0.0431,0.0517,0.0603,0.0172,0.0259,0.0517,0.0431,0.0345,0.0517,NON AMP
0,0,0.0345,0,0,0,0.069,0.069,0,0.0345,0,0.0345,0.069,0.2414,0.069,0,0.069,0.0345,0,0,0.069,0,0.1034,0.0345,0,0.0345,0.0345,NON AMP
0.0492,0.0164,0.0328,0.0164,0,0.0164,0,0.0328,0.1639,0.0328,0.0164,0.0656,0.0328,0,0,0,0,0.0492,0,0,0.0984,0.0656,0.0328,0.0328,0.0984,0.0984,0.0492,NON AMP
0.0167,0,0.0167,0,0.0167,0.0333,0.0333,0.0333,0.0667,0.0167,0,0.0333,0.0333,0.0333,0.0167,0.0667,0.0167,0.05,0.0167,0.0333,0.0833,0.0167,0.0333,0.0833,0.0333,0.0833,0.1333,NON AMP
0.0909,0.0505,0.0505,0.0505,0.0303,0.0303,0.0505,0.0404,0.0303,0.0606,0.0303,0.0303,0.0202,0.0303,0.0303,0.0202,0.0303,0.0303,0.0404,0.0303,0.0303,0.0505,0.0202,0.0202,0.0303,0.0202,0.0505,NON AMP
0.0875,0.025,0.0125,0.025,0.05,0.0125,0.0125,0.0375,0.025,0.025,0.0375,0.0375,0.025,0.025,0.05,0.025,0.025,0.05,0.0125,0.0125,0.025,0.05,0.025,0.0375,0.0125,0.0625,0.175,NON AMP
0.1429,0.051,0.0408,0.0408,0.051,0.051,0.0204,0.0102,0.0306,0.051,0.0612,0,0.0408,0.0306,0.0306,0.0408,0.0204,0.0306,0.0306,0.0306,0.0204,0.0306,0.0204,0.0204,0.0204,0.0408,0.0408,NON AMP
0.0459,0.0367,0,0.055,0.055,0.055,0,0.0092,0.0275,0.0183,0.0826,0.0367,0.055,0.1284,0.0183,0.0183,0.055,0.0367,0.0092,0.0459,0,0.0275,0.0275,0.0367,0.0367,0.0275,0.055,NON AMP
0.0274,0.0822,0.0548,0.0685,0.0411,0.0685,0.0411,0.0137,0.0411,0.0685,0.0548,0.0137,0.0411,0.0274,0.0137,0.0411,0.0274,0.0274,0.0685,0.0274,0.0274,0.0274,0.0137,0.0137,0.0411,0.0137,0.0137,NON AMP
0,0.0208,0.0104,0,0.0312,0.0417,0.0104,0.0417,0.0417,0,0.0208,0.0417,0.0417,0.0938,0.0521,0.0521,0.0417,0.0625,0.0312,0.0208,0.0417,0.0312,0.0625,0.0625,0.0312,0.0729,0.0417,NON AMP
0.1154,0.0962,0.0192,0.0769,0.0192,0.0385,0.0577,0.0192,0.0385,0.0385,0.0192,0.0577,0.0385,0.0192,0.0192,0.0192,0,0.0385,0.0577,0.0192,0.0385,0,0.0577,0,0.0385,0.0385,0.0192,NON AMP
0.1149,0.046,0.0575,0.0345,0.023,0.0345,0.0345,0.046,0.069,0.046,0.023,0.0115,0.0115,0,0.0115,0.046,0.0115,0.023,0.046,0.023,0.0805,0.0345,0,0.0345,0.069,0.023,0.046,NON AMP
0.0667,0.0444,0.0889,0,0.0444,0.0222,0.0222,0.0222,0.0889,0.0444,0,0.0222,0.0444,0.0222,0,0.0444,0,0.0222,0.0667,0.0222,0.0444,0.0222,0,0.0444,0.0667,0.0444,0.0889,NON AMP
0.0104,0.0208,0.0417,0.0417,0.0208,0.0417,0.0417,0.0521,0.0104,0.0208,0.0417,0.0104,0,0.0833,0.0312,0.0417,0.0208,0.0625,0.0417,0.0417,0.0521,0.0312,0.0104,0.0521,0.0521,0.0208,0.1042,NON AMP
0,0.0108,0.086,0.0215,0,0.0538,0.0538,0.0323,0.086,0.0323,0.0108,0.0108,0.0215,0.0108,0.0215,0.043,0,0.043,0.0645,0.0538,0.0753,0.0108,0.043,0.0108,0.0968,0.0323,0.0753,NON AMP
