@relation ABPra3-29
@attribute BBB
@attribute BBU
@attribute BBJ
@attribute BUB
@attribute BUU
@attribute BUJ
@attribute BJB
@attribute BJU
@attribute BJJ
@attribute UBB
@attribute UBU
@attribute UBJ
@attribute UUB
@attribute UUU
@attribute UUJ
@attribute UJB
@attribute UJU
@attribute UJJ
@attribute JBB
@attribute JBU
@attribute JBJ
@attribute JUB
@attribute JUU
@attribute JUJ
@attribute JJB
@attribute JJU
@attribute JJJ
@attribute isAMP {AMP, Non-AMP}
@data
0,0.037,0.037,0,0.1481,0,0,0.0741,0.037,0.0741,0,0.0741,0.0741,0.1111,0.037,0.0741,0,0,0,0.1111,0,0.037,0,0.037,0.037,0,0,AMP
0.0385,0,0.0769,0,0.0769,0.0769,0.0769,0,0.0769,0,0.1538,0,0.0769,0,0,0.0769,0,0,0.0385,0,0.0769,0.0769,0,0,0,0.0769,0,AMP
0,0.0556,0,0.0556,0.1111,0,0,0,0,0.0556,0.0556,0,0.0556,0.1667,0.1111,0,0.1111,0.0556,0,0,0,0,0.0556,0.0556,0,0.0556,0,AMP
0,0.1667,0.0556,0,0.2222,0,0,0,0.0556,0.1667,0.0556,0,0.2222,0,0,0,0,0,0,0,0,0,0,0,0.0556,0,0,AMP
0,0.1667,0.0556,0.0556,0.1667,0,0,0,0.0556,0.1667,0.0556,0,0.1667,0.0556,0,0,0,0,0,0,0,0,0,0,0.0556,0,0,AMP
0,0.0556,0.0556,0.0556,0.0556,0,0.0556,0.1111,0,0.1111,0.0556,0.0556,0.1111,0.0556,0.0556,0,0,0,0,0,0.0556,0,0.1111,0,0,0,0,AMP
0,0.1667,0,0.1111,0.1111,0.0556,0,0,0,0.1111,0.1111,0,0.1111,0.0556,0,0,0,0.0556,0,0.0556,0,0,0,0,0.0556,0,0,AMP
0,0,0.0556,0,0,0.0556,0,0.0556,0.1667,0,0.0556,0.0556,0,0,0,0,0,0.0556,0.0556,0,0.1111,0.0556,0,0,0.1667,0.0556,0.0556,AMP
0,0,0.0556,0,0.0556,0.0556,0,0,0.1667,0,0.1111,0,0.0556,0,0,0,0,0.0556,0.0556,0,0.1111,0,0,0,0.1667,0.0556,0.0556,AMP
0,0.1667,0.0556,0.0556,0.1111,0.0556,0,0,0.0556,0.1667,0.0556,0,0.1111,0,0,0,0.0556,0,0,0,0,0.0556,0,0,0.0556,0,0,AMP
0,0.1111,0,0,0,0.2778,0,0,0,0.0556,0,0,0,0,0,0.2222,0,0.0556,0.0556,0.1667,0,0,0,0,0.0556,0,0,AMP
0,0.0556,0.0556,0,0,0.0556,0,0,0.1111,0.1111,0,0,0.0556,0.1111,0.0556,0,0.1111,0,0,0,0,0.0556,0.1111,0,0,0.0556,0.0556,AMP
0,0.0556,0.0556,0,0,0.1111,0.0556,0,0,0,0,0,0,0.1111,0.1111,0.1111,0.0556,0.0556,0.0556,0.0556,0,0,0.1111,0,0,0.0556,0,AMP
0.1111,0.1111,0.0556,0.1667,0.0556,0,0.0556,0,0.0556,0.1111,0.0556,0.0556,0.0556,0,0,0,0,0,0,0.0556,0,0,0,0,0,0.0556,0,AMP
0,0,0,0,0,0.0556,0,0.0556,0,0,0.0556,0,0,0.1111,0.0556,0,0.1111,0.1111,0,0,0.0556,0.0556,0.0556,0.1111,0.0556,0.1111,0,AMP
